Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,"2.00% crediting rate andmaximum charges","4.00% alternative crediting rate andcurrent charges",,,
,,,,"Surrendervalue","Deathbenefit","Cashvalue","Surrendervalue","Deathbenefit"
61.0,105.0,$0,"($32,292)",$0,$0,$0,$0,$0
62.0,106.0,$0,"($32,292)",$0,$0,$0,$0,$0
63.0,107.0,$0,"($32,292)",$0,$0,$0,$0,$0
64.0,108.0,$0,"($32,292)",$0,$0,$0,$0,$0
65.0,109.0,$0,"($32,292)",$0,$0,$0,$0,$0
,,"$209,999","($1,210,849)",,,,,
66.0,110.0,$0,"($32,292)",$0,$0,$0,$0,$0
67.0,111.0,$0,"($32,292)",$0,$0,$0,$0,$0
68.0,112.0,$0,"($32,292)",$0,$0,$0,$0,$0
69.0,113.0,$0,"($32,292)",$0,$0,$0,$0,$0
70.0,114.0,$0,"($32,292)",$0,$0,$0,$0,$0
,,"$209,999","($1,372,309)",,,,,
71.0,115.0,$0,"($32,292)",$0,$0,$0,$0,$0
72.0,116.0,$0,"($32,292)",$0,$0,$0,$0,$0
73.0,117.0,$0,"($32,292)",$0,$0,$0,$0,$0
74.0,118.0,$0,"($32,292)",$0,$0,$0,$0,$0
75.0,119.0,$0,"($32,292)",$0,$0,$0,$0,$0
,,"$209,999","($1,533,769)",,,,,
76.0,120.0,$0,"($32,292)",$0,$0,$0,$0,$0
